,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,uri
136,Babe (Taylor's Version) (From The Vault),0.584,0.743,4,-7.075,1,0.0931,0.0538,2.83e-06,0.121,0.746,167.844,224240,spotify:track:0v4z1tuZvn6LGknom9Qx7d
137,A Place in this World,0.576,0.777,9,-2.881,1,0.0324,0.051,0.0,0.32,0.428,115.028,199200,spotify:track:73OX8GdpOeGzKC6OvGSbsv
138,Back To December - Acoustic,0.541,0.453,2,-6.459,1,0.0266,0.748,0.0,0.2,0.377,141.757,292560,spotify:track:6IH2Z54gYPLqgJtxZjX80i
139,Starlight,0.649,0.777,9,-5.804,1,0.0406,0.0213,0.000335,0.221,0.587,126.018,217827,spotify:track:0vqI4ZIMuifeKeItGiWbPj
140,Innocent,0.552,0.608,1,-5.29,0,0.0259,0.186,0.0,0.125,0.17,134.05,302253,spotify:track:3kfgJql90tzgoxByioAMXR
141,How You Get The Girl,0.765,0.656,5,-6.112,1,0.0504,0.00364,0.00868,0.0918,0.545,119.997,247533,spotify:track:6wfugRLamFsTRbPcCpNnP7
142,Mary's Song (Oh My My My),0.403,0.627,2,-5.28,1,0.0292,0.0177,0.0,0.182,0.374,74.9,213080,spotify:track:2QrQCMel6v2JiLxqrg4p2O
143,I Think He Knows,0.897,0.366,0,-8.029,1,0.0569,0.00889,0.000353,0.0715,0.416,100.003,173387,spotify:track:2YWtcWi3a83pdEg3Gif4Pd
144,So It Goes...,0.574,0.61,2,-7.283,1,0.0732,0.122,1.1e-06,0.13,0.374,74.957,227907,spotify:track:5PxFv9yJEg9dxvbZggykro
145,Untouchable (Taylor’s Version),0.393,0.531,5,-6.112,1,0.0329,0.0181,0.0,0.169,0.224,200.391,312107,spotify:track:0tQ9vBYpldCuikPsbgOVKA
146,End Game,0.649,0.589,2,-6.237,1,0.0558,0.00845,0.0,0.108,0.151,159.073,244827,spotify:track:2x0WlnmfG39ZuDmstl9xfX
147,Picture To Burn,0.658,0.877,7,-2.098,1,0.0323,0.173,0.0,0.0962,0.821,105.586,173067,spotify:track:32mVHdy0bi1XKgr0ajsBlG
148,I Forgot That You Existed,0.664,0.316,5,-10.345,1,0.519,0.298,2.03e-06,0.0812,0.541,92.875,170640,spotify:track:43rA71bccXFGD4C8GOpIlN
149,Bad Blood,0.646,0.794,7,-6.104,1,0.19,0.0885,6.16e-06,0.201,0.287,170.216,211933,spotify:track:0yN4fNzmVnmgC0dsOoi9Wh
150,The Man,0.777,0.658,0,-5.191,1,0.054,0.0767,0.0,0.0901,0.633,110.048,190360,spotify:track:3RauEVgRgj1IuWdJ9fDs70
151,False God,0.739,0.32,11,-10.862,0,0.239,0.736,0.000147,0.111,0.351,79.97,200307,spotify:track:5hQSXkFgbxjZo9uCwd11so
152,Invisible,0.612,0.394,7,-5.723,1,0.0243,0.637,0.0,0.147,0.233,96.001,203227,spotify:track:5OOd01o2YS1QFwdpVLds3r
153,Dancing With Our Hands Tied,0.624,0.691,0,-6.686,0,0.196,0.0604,1.1e-05,0.138,0.284,160.024,211507,spotify:track:7I7JbDv63ZJJsSi24DyJrz
154,Welcome To New York,0.789,0.634,7,-4.762,1,0.0323,0.0348,1.64e-06,0.302,0.658,116.992,212600,spotify:track:33Kq0AT5rvwyE4azisG08x
155,Don’t Blame Me,0.615,0.534,9,-6.719,0,0.0386,0.106,1.76e-05,0.0607,0.193,135.917,236413,spotify:track:1R0a2iXumgCiFb7HEZ7gUE
156,The Last Time,0.505,0.443,2,-7.039,1,0.0276,0.035,3.15e-06,0.0921,0.123,94.069,298293,spotify:track:7vvIpJZye5cRR6De1LKM0m
157,You Need To Calm Down,0.771,0.671,2,-5.617,1,0.0553,0.00929,0.0,0.0637,0.714,85.026,171360,spotify:track:6RRNNciQGZEXnqk8SQ9yv5
158,If This Was A Movie,0.511,0.719,4,-3.457,1,0.0265,0.166,4.54e-06,0.34,0.289,147.852,234547,spotify:track:0vvt4IZOMkRug195S4MUq0
159,Never Grow Up,0.714,0.305,2,-8.837,1,0.0305,0.819,0.0,0.174,0.554,124.91,290467,spotify:track:74WBGgUnpKrJXt6TETfR6Z
160,A Perfectly Good Heart,0.483,0.751,4,-5.726,1,0.0365,0.00349,0.0,0.128,0.268,156.092,220147,spotify:track:1spLfUJxtyVyiKKTegQ2r4
161,Tied Together with a Smile,0.479,0.578,2,-4.963,1,0.0294,0.525,0.0,0.0841,0.192,146.165,248107,spotify:track:6K0CJLVXqbGMeJSmJ4ENKK
162,Look What You Made Me Do,0.766,0.709,9,-6.471,0,0.123,0.204,1.41e-05,0.126,0.506,128.07,211853,spotify:track:1P17dC1amhFzptugyAO7Il
163,Girl At Home,0.733,0.59,5,-5.86,1,0.0284,0.272,0.0,0.136,0.633,125.048,220320,spotify:track:6cf6rLb8qcklvJv90W6HCW
164,Superman,0.582,0.765,7,-3.648,1,0.0324,0.0268,1.95e-06,0.103,0.559,131.982,275960,spotify:track:2R7C9dDqv1UPycvepBFziA
165,This Is Why We Can't Have Nice Things,0.567,0.789,5,-5.986,1,0.115,0.0156,0.0,0.382,0.438,163.96,207133,spotify:track:07NxDD1iKCHbAldceD7QLP
166,ME! (feat. Brendon Urie of Panic! At The Disco),0.61,0.83,0,-4.105,1,0.0571,0.033,0.0,0.118,0.728,182.162,193000,spotify:track:2Rk4JlNc2TPmZe2af99d45
167,...Ready For It?,0.613,0.764,2,-6.509,1,0.136,0.0527,0.0,0.197,0.417,160.015,208187,spotify:track:2yLa0QULdQr0qAIvVwN6B5
